committee_id,label,topics
5647,Gremium nach § 28a des Geldwäschegesetzes,"Öffentliche Finanzen, Steuern und Abgaben"
5646,2. Untersuchungsausschuss (nationale Energieversorgung),Energie
5258,Gremium gemäß § 80 des Zollfahndungsdienstgesetzes,"Innere Sicherheit|Medien, Kommunikation und Informationstechnik|Recht"
5257,Gremium gemäß Artikel 13 Absatz 6 des Grundgesetzes,Innere Sicherheit|Recht
5256,Wahlausschuss für die vom Deutschen Bundestag zu berufenden Richter des Bundesverfassungsgerichts,Bundestag|Recht
5255,Bundesfinanzierungsgremium,"Öffentliche Finanzen, Steuern und Abgaben"
5254,Parlamentarischer Beirat für nachhaltige Entwicklung,Entwicklungspolitik|Umwelt
5222,Wahlprüfungsausschuss,Bundestag
5221,Unterausschuss Europarecht,Europapolitik und Europäische Union|Recht
5220,"Gremium ""Sondervermögen Bundeswehr""","Öffentliche Finanzen, Steuern und Abgaben|Verteidigung"
5219,Vertrauensgremium,Bundestag|Staat und Verwaltung
5213,Rechnungsprüfungsausschuss,"Öffentliche Finanzen, Steuern und Abgaben"
5212,Unterausschuss Globale Gesundheit,Gesundheit
5211,Unterausschuss Bürgerschaftliches Engagement,"Arbeit und Beschäftigung|Gesellschaftspolitik, soziale Gruppen"
5210,Kinderkommission - Kommission zur Wahrnehmung der Belange der Kinder,"Gesellschaftspolitik, soziale Gruppen"
5209,Unterausschuss Auswärtige Kultur- und Bildungspolitik,Bildung und Erziehung|Kultur
5208,"Unterausschuss Vereinte Nationen, internationale Organisationen und zivile Krisenprävention","Außenpolitik und internationale Beziehungen|Gesellschaftspolitik, soziale Gruppen"
5206,Unterausschuss Internationale Klima- und Energiepolitik,Außenpolitik und internationale Beziehungen|Umwelt
5205,"Unterausschuss Abrüstung, Rüstungskontrolle und Nichtverbreitung",Verteidigung
5204,Unterausschuss zu Fragen der Europäischen Union,"Europapolitik und Europäische Union|Öffentliche Finanzen, Steuern und Abgaben"
4809,Parlamentarisches Kontrollgremium (PKGr),Bundestag|Staat und Verwaltung
4711,1. Untersuchungsausschuss (Afghanistan),Außenpolitik und internationale Beziehungen
4419,Ausschuss für Klimaschutz und Energie,Energie|Umwelt|Klima
4418,Ausschuss für Kultur und Medien,Kultur|Medien
4417,Ausschuss für Menschenrechte und humanitäre Hilfe,Humanitäre Hilfe|Menschenrechte
4416,Ausschuss für Inneres und Heimat,Migration und Aufenthaltsrecht|Innere Sicherheit|Innere Angelegenheiten|Recht|Staat und Verwaltung
4415,"Ausschuss für Wohnen, Stadtentwicklung, Bauwesen und Kommunen","Raumordnung, Bau- und Wohnungswesen"
4414,Haushaltsausschuss,"Öffentliche Finanzen, Steuern und Abgaben|Haushalt"
4413,Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung,Außenwirtschaft|Entwicklungspolitik|Humanitäre Hilfe
4412,Ausschuss für Ernährung und Landwirtschaft,Landwirtschaft und Ernährung
4411,Gesundheitsausschuss,Gesundheit
4410,Finanzausschuss,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen"
4408,"Ausschuss für Familie, Senioren, Frauen und Jugend","Gesellschaftspolitik, soziale Gruppen|Familie|Frauen|Jugend|Senioren"
4407,Ältestenrat,Bundestag
4405,Ausschuss für Arbeit und Soziales,Arbeit und Beschäftigung|Soziale Sicherung
4404,Rechtsausschuss,Recht
4403,Verkehrsausschuss,Verkehr
4402,"Ausschuss für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",Verbraucherschutz|Umwelt|Klima|Naturschutz|Reaktorsicherheit
4400,Verteidigungsausschuss,Außenpolitik und internationale Beziehungen|Verteidigung
4399,Ausschuss für Tourismus,"Sport, Freizeit und Tourismus|Tourismus"
4398,Sportausschuss,"Sport, Freizeit und Tourismus|Sport"
4397,Ausschuss für die Angelegenheiten der Europäischen Union,Europapolitik und Europäische Union
4396,Ausschuss für Digitales ,"Medien, Kommunikation und Informationstechnik|Digitale Agenda|digitale Infrastruktur"
4395,"Ausschuss für Bildung, Forschung und Technikfolgenabschätzung ",Bildung und Erziehung
4394,Wirtschaftsausschuss,Wirtschaft
4393,"Ausschuss für Wahlprüfung, Immunität und Geschäftsordnung",Bundestag|Immunität|Wahlprüfung
4392,Auswärtiger Ausschuss,Außenpolitik und internationale Beziehungen
4373,Petitionsausschuss,Bundestag|Petitionen
4371,Hauptausschuss,Bundestag
