poll_id,topic
6422,Umge­staltung des Bürgergelds zur neuen Grundsicherung (SGB II)
6419,Anpassung des nationalen Rechts an die Reform des Gemeinsamen Europäischen Asylsystems (GEAS-Anpassungsgesetz)
6391,Streichung des Straftatbestandes der Politikerbeleidigung
6388,Verlängerung des Bundeswehreinsatzes im Irak (Beschlussempfehlung)
6373,Stärkung von Verbraucherrechten im digitalen Vertragsabschluss
6372,Ablehnung der Streichung von Steuerprivilegien für höchste Erbschaften (Beschlussempfehlung)
6371,Zurückweisung von Einsprüchen gegen die Bundestagswahl 2025 (Beschlussempfehlung)
6361,Russische Atomgeschäfte in Deutschland nicht unterbinden (Beschlussempfehlung)
6360,Eingefrorenes russisches Staatsvermögen nicht der Ukraine zur Verfügung stellen (Beschlussempfehlung)
6359,Modernisierung des Wehrdienstes
6357,Neuregelung zu sicheren Herkunftsstaaten und Abschaffung anwaltlicher Vertretung bei Abschiebehaft
6356,Stabilisierung des Rentenniveaus und Gleichstellung der Kindererziehungszeiten
6355,Keine Abschaffung der CO2-Bepreisung (Beschlussempfehlung)
6354,Besteuerung von Luxusflügen
6353,Visa für afghanische Staatsangehörige mit Aufnahmezusage erteilen
6351,Schlussabstimmung zum Haushaltsgesetz 2026
6346,Etat von Bundeskanzler und Bundeskanzleramt 2026
6330,Änderung des Tierarzneimittelgesetzes und des Apothekengesetzes
6329,Zuschuss zu den Übertragungsnetzkosten für das Jahr 2026
6327,Änderung des Grundgesetzes zur Klimaschutzfolgenbereinigung
6326,Gesetz zur Beseitigung der Klimaschutzfolgen und Wiederherstellung der Energieinfrastruktur
6324,Energiesteuer- und Stromsteuergesetz (Änderungsantrag)
6323,Modernisierung und Digitalisierung der Bekämpfung von Schwarzarbeit
6319,Weitere Bundes­wehrbeteiligung an der EU-Mission EUNAVFOR MED IRINI im Mittelmeer
6318,Beteiligung der Bundeswehr an der Operation SEA GUARDIAN im Mittelmeer verlängern
6316,Keine Einschränkung der medizinischen Versorgung von Ausländer:innen (Beschlussempfehlung)
6315,Änderung der internationalen Gesundheitsvorschriften
6311,Mietwuchergesetz
6286,Keine Abschaffung des Verbrenner-Verbots (Beschlussempfehlung)
6285,Verlängerung des Bundeswehreinsatzes im Südsudan (UNMISS)
6284,Fortsetzung des Bundeswehreinsatzes im Roten Meer (EUNAVFOR ASPIDES)
6280,Änderung des Staatsangehörigkeitsgesetzes
6278,Keine Wiedereinführung der Agrardieselrückerstattung (Beschlussempfehlung)
6251,Haushaltsgesetz 2025
6250,Etat von Bundeskanzler und Bundeskanzleramt
6249,Kein Stopp des Rückbaus abgeschalteter Kernkraftwerke (Beschlussempfehlung)
6170,Keinen Untersuchungsausschuss zur Aufarbeitung der Corona-Pandemie einsetzen (Beschlussempfehlung)
6165,Ablehnung des Grünen-Antrags gegen die Weiterführung der Nord-Stream-Pipelines
6155,Aussetzung des Familiennachzugs für subsidiär Schutzberechtigte
6151,Änderung des Allgemeinen Eisenbahngesetzes
6148,Weitere Beteiligung der Bundeswehr im Kosovo (KFOR)
6147,Fortsetzung des Bundeswehreinsatzes in Bosnien und Herzegowina (EUFOR ALTHEA)
6146,Fortsetzung des Bundeswehreinsatzes vor der libanesischen Küste (UNIFIL)
